group_id,operator,label,invocations,theoretical_occupancy_pct_min,theoretical_occupancy_pct_max,registers_per_thread_min,registers_per_thread_max,shared_bytes_per_block_min,shared_bytes_per_block_max,register_block_limit_min,register_block_limit_max,shared_block_limit_min,shared_block_limit_max,waves_per_sm_min,waves_per_sm_max,grid_blocks_min,grid_blocks_max,block_threads_min,block_threads_max
1,_adarms_norm_kernel.line1854,AdaRMS (pre-attention),180,100.0,100.0,36.0,36.0,1040.0,1040.0,12.0,12.0,28.0,28.0,0.21,0.21,50.0,50.0,128.0,128.0
2,_adarms_norm_kernel.line1945,AdaRMS (pre-FFN),180,100.0,100.0,36.0,36.0,1040.0,1040.0,12.0,12.0,28.0,28.0,0.21,0.21,50.0,50.0,128.0,128.0
3,_adarms_norm_kernel.line1989,AdaRMS (final),10,100.0,100.0,36.0,36.0,1040.0,1040.0,12.0,12.0,28.0,28.0,0.21,0.21,50.0,50.0,128.0,128.0
4,_matmul_abt_scale.line1899,Attention scores: QKᵀ + scale,180,66.67,66.67,64.0,64.0,17408.0,17408.0,8.0,8.0,9.0,9.0,0.57,0.57,91.0,91.0,128.0,128.0
5,_matmul_rope_qkv.line1863,QKV projection + RoPE,180,33.33,33.33,96.0,96.0,50176.0,50176.0,5.0,5.0,4.0,4.0,1.6,1.6,128.0,128.0,128.0,128.0
6,_matmul_small.line1921,Attention context: P × V,180,75.0,75.0,56.0,56.0,17408.0,17408.0,9.0,9.0,9.0,9.0,0.58,0.58,104.0,104.0,128.0,128.0
7,_matmul_small_bias.line1839,Action input projection + bias,10,83.33,83.33,42.0,42.0,11264.0,11264.0,10.0,10.0,12.0,12.0,0.32,0.32,64.0,64.0,128.0,128.0
8,_matmul_small_bias_res.line1998,Action head + Euler update,10,50.0,50.0,72.0,72.0,33792.0,33792.0,7.0,7.0,6.0,6.0,0.07,0.07,8.0,8.0,128.0,128.0
9,_matmul_small_gate.line1954,FFN gate/up + GELU product,180,16.67,16.67,246.0,246.0,50176.0,50176.0,2.0,2.0,2.0,2.0,1.6,1.6,64.0,64.0,128.0,128.0
10,_matmul_small_res_gate_ffn_down.line1971,FFN down + gated residual,180,16.67,16.67,128.0,128.0,82944.0,82944.0,4.0,4.0,2.0,2.0,1.6,1.6,64.0,64.0,128.0,128.0
11,_matmul_small_res_gate_oproj.line1932,Attention out + gated residual,180,25.0,25.0,128.0,128.0,66560.0,66560.0,4.0,4.0,3.0,3.0,2.13,2.13,128.0,128.0,128.0,128.0
12,_softmax_prefix_suffix_mask_vector.line1911,Attention masked softmax,180,75.0,75.0,56.0,56.0,2048.0,2048.0,9.0,9.0,32.0,32.0,0.56,0.56,100.0,100.0,128.0,128.0
