id,process_id,device,context,stream,kernel,grid,block,operator,nvtx_export,nvtx,stage,group_id,domain,duration_ns,memory_level,memory_bytes,dram_bytes,flops,ai_flops_per_byte,performance_tflops,status,source_line
0,2728813,0,1,7,triton_poi_fused__to_copy_convolution_0,"(25, 1, 1)","(128, 1, 1)","Vision: input cast/layout | triton_poi_fused__to_copy_convolution_0 | grid=(25, 1, 1) block=(128, 1, 1)",vlm.vision.camera0/triton_poi_fused__to_copy_convolution_0,vlm.vision.camera0,vlm,27,bf16_tensor,7360.000000000001,l2,958496.0,,0.0,,,zero_counted_flops,
0,2728813,0,1,7,triton_poi_fused__to_copy_convolution_0,"(25, 1, 1)","(128, 1, 1)","Vision: input cast/layout | triton_poi_fused__to_copy_convolution_0 | grid=(25, 1, 1) block=(128, 1, 1)",vlm.vision.camera0/triton_poi_fused__to_copy_convolution_0,vlm.vision.camera0,vlm,27,fp32_simt,7360.000000000001,l2,958496.0,,0.0,,,zero_counted_flops,
1,2728813,0,1,7,"void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","(1568, 1, 1)","(256, 1, 1)","Vision: NCHW → NHWC (input) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(1568, 1, 1) block=(256, 1, 1)","vlm.vision.camera0/void cudnn::engines_precompiled::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<T3>, const T1 *, T2 *)",vlm.vision.camera0,vlm,21,bf16_tensor,27488.0,l2,1560992.0,,0.0,,,zero_counted_flops,
1,2728813,0,1,7,"void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","(1568, 1, 1)","(256, 1, 1)","Vision: NCHW → NHWC (input) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(1568, 1, 1) block=(256, 1, 1)","vlm.vision.camera0/void cudnn::engines_precompiled::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<T3>, const T1 *, T2 *)",vlm.vision.camera0,vlm,21,fp32_simt,27488.0,l2,1560992.0,,150528.0,0.09643098747463151,0.005476135040745052,ok,
2,2728813,0,1,7,"void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","(7, 1, 1152)","(256, 1, 1)","Vision: NCHW → NHWC (weights) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(7, 1, 1152) block=(256, 1, 1)","vlm.vision.camera0/void cudnn::engines_precompiled::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<T3>, const T1 *, T2 *)",vlm.vision.camera0,vlm,22,bf16_tensor,104480.0,l2,7704480.0,,0.0,,,zero_counted_flops,
2,2728813,0,1,7,"void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *)","(7, 1, 1152)","(256, 1, 1)","Vision: NCHW → NHWC (weights) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(7, 1, 1152) block=(256, 1, 1)","vlm.vision.camera0/void cudnn::engines_precompiled::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<T3>, const T1 *, T2 *)",vlm.vision.camera0,vlm,22,fp32_simt,104480.0,l2,7704480.0,,677376.0,0.08791975577845618,0.006483307810107198,ok,
3,2728813,0,1,7,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params),"(4, 5, 1)","(128, 1, 1)","Vision: patch embedding convolution | void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params) | grid=(4, 5, 1) block=(128, 1, 1)",vlm.vision.camera0/void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params),vlm.vision.camera0,vlm,28,bf16_tensor,102048.00000000001,l2,20483200.0,,3699376128.0,180.60538040931104,36.25133396048918,ok,
3,2728813,0,1,7,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params),"(4, 5, 1)","(128, 1, 1)","Vision: patch embedding convolution | void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params) | grid=(4, 5, 1) block=(128, 1, 1)",vlm.vision.camera0/void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params),vlm.vision.camera0,vlm,28,fp32_simt,102048.00000000001,l2,20483200.0,,884736.0,0.04319325105452273,0.008669802445907806,ok,
4,2728813,0,1,7,"void cudnn::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, 1, 0, 0>(cudnn::nhwc2nchw_params_t<T3>, const T1 *, T2 *)","(8, 36, 1)","(256, 1, 1)","Vision: NHWC → NCHW | void cudnn::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, 1, 0, 0>(cudnn::nhwc2nchw_params_t<T3>, const T1 *, T2 *) | grid=(8, 36, 1) block=(256, 1, 1)","vlm.vision.camera0/void cudnn::engines_precompiled::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, (bool)1, (bool)0, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<T3>, const T1 *, T2 *)",vlm.vision.camera0,vlm,23,bf16_tensor,21344.0,l2,1232544.0,,0.0,,,zero_counted_flops,
4,2728813,0,1,7,"void cudnn::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, 1, 0, 0>(cudnn::nhwc2nchw_params_t<T3>, const T1 *, T2 *)","(8, 36, 1)","(256, 1, 1)","Vision: NHWC → NCHW | void cudnn::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, 1, 0, 0>(cudnn::nhwc2nchw_params_t<T3>, const T1 *, T2 *) | grid=(8, 36, 1) block=(256, 1, 1)","vlm.vision.camera0/void cudnn::engines_precompiled::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, (bool)1, (bool)0, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<T3>, const T1 *, T2 *)",vlm.vision.camera0,vlm,23,fp32_simt,21344.0,l2,1232544.0,,294912.0,0.23927097125944388,0.013817091454272864,ok,
5,2728813,0,1,7,triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1,"(36, 1, 1)","(256, 1, 1)","Vision: patch/LayerNorm fusion 1 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1 | grid=(36, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1,vlm.vision.camera0,vlm,29,bf16_tensor,21312.000000000004,l2,1317728.0,,0.0,,,zero_counted_flops,
