group_id,operator,domain,memory_level,invocations,flops,duration_ns,memory_bytes,mean_duration_ns,ai_flops_per_byte,performance_tflops,status
1,"Prefix FFN: GELU product | triton_poi_fused_gelu_mul_split_0 | grid=(29376, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,17,0.0,5840576.0,1536246848.0,343563.29411764705,,,zero_counted_flops
1,"Prefix FFN: GELU product | triton_poi_fused_gelu_mul_split_0 | grid=(29376, 1, 1) block=(128, 1, 1)",fp32_simt,l2,17,3925492872.0,5840576.0,1536246848.0,343563.29411764705,2.555248772103583,0.6721071469663266,ok
2,"Prefix FFN: down + residual | nvjet_sm110_tst_256x184_64x3_2x1_v_badd_NNT | grid=(40, 1, 1) block=(256, 1, 1)",bf16_tensor,l2,17,1049582632960.0,13376768.0,7619497248.0,786868.7058823529,137.74959144916014,78.46309609017663,ok
2,"Prefix FFN: down + residual | nvjet_sm110_tst_256x184_64x3_2x1_v_badd_NNT | grid=(40, 1, 1) block=(256, 1, 1)",fp32_simt,l2,17,64061440.0,13376768.0,7619497248.0,786868.7058823529,0.008407567837473153,0.004789007329722695,ok
3,"Prefix FFN: gate/up projection | nvjet_sm110_tst_256x232_64x3_1x2_h_bz_NNT | grid=(512, 1, 1) block=(256, 1, 1)",bf16_tensor,l2,17,2117418876928.0,14612672.0,13804660800.0,859568.9411764706,153.3843466061839,144.9029224037876,ok
3,"Prefix FFN: gate/up projection | nvjet_sm110_tst_256x232_64x3_1x2_h_bz_NNT | grid=(512, 1, 1) block=(256, 1, 1)",fp32_simt,l2,17,1033895936.0,14612672.0,13804660800.0,859568.9411764706,0.07489470049130073,0.07075338007997442,ok
4,"Prefix: Attention P × V | _matmul_small | grid=(1840, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,17,61498982400.0,4522688.0,3776597568.0,266040.4705882353,16.284229731305064,13.597883028853637,ok
4,"Prefix: Attention P × V | _matmul_small | grid=(1840, 1, 1) block=(128, 1, 1)",fp32_simt,l2,17,0.0,4522688.0,3776597568.0,266040.4705882353,,,zero_counted_flops
5,"Prefix: Attention QKᵀ + scale | _matmul_abt_scale | grid=(6670, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,17,59449016320.0,4347232.0,4130840160.0,255719.5294117647,14.391507300539075,13.675142325047295,ok
5,"Prefix: Attention QKᵀ + scale | _matmul_abt_scale | grid=(6670, 1, 1) block=(128, 1, 1)",fp32_simt,l2,17,116111360.0,4347232.0,4130840160.0,255719.5294117647,0.02810841269636538,0.026709262353607998,ok
6,"Prefix: Attention output + residual | _matmul_small_res | grid=(480, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,17,136902082560.0,3661632.0,4242918592.0,215390.11764705883,32.266016797524266,37.38826909968014,ok
6,"Prefix: Attention output + residual | _matmul_small_res | grid=(480, 1, 1) block=(128, 1, 1)",fp32_simt,l2,17,0.0,3661632.0,4242918592.0,215390.11764705883,,,zero_counted_flops
7,"Prefix: Prefix RoPE table | _build_gemma_rope_from_positions | grid=(58, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,1,0.0,18784.0,1149056.0,18784.0,,,zero_counted_flops
7,"Prefix: Prefix RoPE table | _build_gemma_rope_from_positions | grid=(58, 1, 1) block=(128, 1, 1)",fp32_simt,l2,1,4678494.0,18784.0,1149056.0,18784.0,4.0715979029742675,0.2490680366269165,ok
8,"Prefix: Prefix masked softmax | _softmax_mask_vector | grid=(1836, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,17,0.0,2491392.0,707448864.0,146552.4705882353,,,zero_counted_flops
8,"Prefix: Prefix masked softmax | _softmax_mask_vector | grid=(1836, 1, 1) block=(128, 1, 1)",fp32_simt,l2,17,609771174.0,2491392.0,707448864.0,146552.4705882353,0.8619296814645815,0.2447511969212392,ok
9,"Prefix: QKV projection + Gemma RoPE | _matmul_gemma_rope_qkv | grid=(29, 10, 1) block=(128, 1, 1)",bf16_tensor,l2,18,175154135040.0,4594240.0,6197951392.0,255235.55555555556,28.260004630897885,38.124724663927005,ok
9,"Prefix: QKV projection + Gemma RoPE | _matmul_gemma_rope_qkv | grid=(29, 10, 1) block=(128, 1, 1)",fp32_simt,l2,18,115458048.0,4594240.0,6197951392.0,255235.55555555556,0.01862842102134382,0.025131044089990943,ok
10,"Prefix: RMSNorm (pre-FFN) | _rms_norm_kernel | grid=(918, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,17,0.0,498368.0,141143680.0,29315.764705882353,,,zero_counted_flops
10,"Prefix: RMSNorm (pre-FFN) | _rms_norm_kernel | grid=(918, 1, 1) block=(128, 1, 1)",fp32_simt,l2,17,175785984.0,498368.0,141143680.0,29315.764705882353,1.2454399941959853,0.3527232567099011,ok
11,"Prefix: RMSNorm (pre-attention) | _rms_norm_kernel | grid=(918, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,18,0.0,524448.0,149765504.0,29136.0,,,zero_counted_flops
11,"Prefix: RMSNorm (pre-attention) | _rms_norm_kernel | grid=(918, 1, 1) block=(128, 1, 1)",fp32_simt,l2,18,186126336.0,524448.0,149765504.0,29136.0,1.2427850942230327,0.3548995057660626,ok
12,"Prefix: concatenate image/text embeddings | void at::<unnamed>::CatArrayBatchedCopy_vectorized<at::<unnamed>::OpaqueType<2>, unsigned int, 2, 128, 1, 16, 8>(char *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2) | grid=(512, 4, 1) block=(128, 1, 1)",bf16_tensor,l2,1,0.0,28000.000000000004,7985632.0,28000.000000000004,,,zero_counted_flops
12,"Prefix: concatenate image/text embeddings | void at::<unnamed>::CatArrayBatchedCopy_vectorized<at::<unnamed>::OpaqueType<2>, unsigned int, 2, 128, 1, 16, 8>(char *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2) | grid=(512, 4, 1) block=(128, 1, 1)",fp32_simt,l2,1,0.0,28000.000000000004,7985632.0,28000.000000000004,,,zero_counted_flops
13,"Prefix: mask conversion/copy | void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7) | grid=(2, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,1,0.0,15872.0,129856.0,15872.0,,,zero_counted_flops
