id,label,calls,shape,logical_tensor_flops,scalar_flops_estimate,formula,tensor_io_once_bytes,weight_bytes,special_ops,estimate_note,logical_flops_per_call,logical_gflop_per_call,ncu_bf16_gflop_per_call,ncu_fp32_gflop_per_call,mean_ncu_us,total_ncu_ms,time_percent,logical_tensor_tflops,ncu_tensor_tflops,ncu_scalar_tflops,tensor_counter_over_logical,ncu_l2_bytes_per_call,ncu_l2_gbps,ncu_tensor_ai_l2,logical_tensor_ai_io_once,io_once_equivalent_gbps,io_once_time_at_273gbps_us,l2_bytes_over_io_once,dram_crossover_tensor_tflops,operator
1,Prefix FFN: GELU product,17,"gate/up [918,32768] -> [918,16384]",0,135364608,9*L*H add/mul + L*H tanh,90243072,0,15040512 tanh,,135364608,0.135364608,0.0,0.23091134541176472,343.56329411764705,5.840576,6.892262470743815,0.0,0.0,0.6721071469663267,,90367461.64705883,263.0300244359461,0.0,0.0,262.6679669950361,330.5607032967033,1.001378384448823,0.0,"Prefix FFN: GELU product | triton_poi_fused_gelu_mul_split_0 | grid=(29376, 1, 1) block=(128, 1, 1)"
2,Prefix FFN: down + residual,17,"[918,16384] @ [16384,2048]",61605937152,1880064,2*918*16384*2048 tensor; 1880064 scalar,104710144,67108864,,FMA=2; logical dimensions; excludes MMA tile padding and compiler epilogue overhead,61607817216,61.607817216,61.74015488,0.00376832,786.8687058823529,13.376768,15.785462951983984,78.29252414215452,78.46309609017665,0.004789007329722696,1.0021786492374727,448205720.4705882,569.6067426750617,137.74959144916014,588.3473634798936,133.07193845329456,383.553641025641,4.280442212653133,160.61883023001096,"Prefix FFN: down + residual | nvjet_sm110_tst_256x184_64x3_2x1_v_badd_NNT | grid=(40, 1, 1) block=(256, 1, 1)"
3,Prefix FFN: gate/up projection,17,"[918,2048] @ [2048,32768]",123211874304,0,2*918*2048*32768 tensor; 0 scalar,198139904,134217728,,FMA=2; logical dimensions; excludes MMA tile padding and compiler epilogue overhead,123211874304,123.211874304,124.554051584,0.060817408,859.5689411764706,14.612672,17.24391067300365,143.3414684985744,144.9029224037876,0.07075338007997442,1.0108932461873639,812038870.5882353,944.7047603614178,153.38434660618393,621.8428081200645,230.51077640009984,725.7871941391941,4.098310608792034,169.7630866167776,"Prefix FFN: gate/up projection | nvjet_sm110_tst_256x232_64x3_1x2_h_bz_NNT | grid=(512, 1, 1) block=(256, 1, 1)"
4,Prefix: Attention P × V,17,"[7344,918] @ [918,256]",3451797504,0,2*(8*L)*L*256,17713728,0,,,3451797504,3.451797504,3.6175872,0.0,266.0404705882353,4.522688,5.337068256501311,12.974708307979679,13.597883028853637,0.0,1.0480299599868996,222152798.11764705,835.0338488969392,16.284229731305064,194.86567164179104,66.58283215645208,64.88545054945055,12.541278612703495,53.198328358208954,"Prefix: Attention P × V | _matmul_small | grid=(1840, 1, 1) block=(128, 1, 1)"
5,Prefix: Attention QKᵀ + scale,17,"[7344,256] @ [256,918]",3451797504,6741792,2*(8*L)*256*L tensor + 8*L*L scale,31197312,0,,,3458539296,3.458539296,3.49700096,0.00683008,255.7195294117647,4.347232,5.130018677133313,13.498372658280028,13.675142325047295,0.026709262353607998,1.0130956279873362,242990597.6470588,950.2230752810063,14.391507300539075,110.64406779661017,121.99815974854805,114.27586813186814,7.788831218762014,30.205830508474577,"Prefix: Attention QKᵀ + scale | _matmul_abt_scale | grid=(6670, 1, 1) block=(128, 1, 1)"
6,Prefix: Attention output + residual,17,"[918,2048] @ [2048,2048]",7700742144,1880064,2*918*2048*2048 tensor; 1880064 scalar,19668992,8388608,,FMA=2; logical dimensions; excludes MMA tile padding and compiler epilogue overhead,7702622208,7.702622208,8.05306368,0.0,215.39011764705882,3.661632,4.320965742980593,35.75253232656913,37.38826909968014,0.0,1.0457516339869282,249583446.5882353,1158.7506860328947,32.266016797524266,391.5168679716785,91.31798717074791,72.04758974358975,12.689183390192811,106.88410495626822,"Prefix: Attention output + residual | _matmul_small_res | grid=(480, 1, 1) block=(128, 1, 1)"
7,Prefix: Prefix RoPE table,1,"positions [918], half-dim 128",0,352512,3*L*128 mul before folding unit attention_scaling,947888,0,117504 sin + 117504 cos,Unit scaling may be folded; trig implementation arithmetic is excluded,352512,0.000352512,0.0,0.004678494,18.784,0.018784,0.02216635110140709,0.0,0.0,0.2490680366269165,,1149056.0,61.17206132879046,0.0,0.0,50.46252129471891,3.472117216117216,1.2122276049491079,0.0,"Prefix: Prefix RoPE table | _build_gemma_rope_from_positions | grid=(58, 1, 1) block=(128, 1, 1)"
8,Prefix: Prefix masked softmax,17,"[7344,918] softmax",0,20218032,"R*(3*C-1), R=8*L, C=L: subtract + reduction + reciprocal multiply",40454424,0,6741792 exp + 7344 reciprocal + max comparisons,"Logical reduction, excludes padded 1024-key lanes and transcendental lowering",20218032,0.020218032,0.0,0.03586889258823529,146.5524705882353,2.491392,2.9400058455726583,0.0,0.0,0.24475119692123923,,41614639.058823526,283.95726726263865,0.0,0.0,276.04054600801476,148.18470329670328,1.028679559467304,0.0,"Prefix: Prefix masked softmax | _softmax_mask_vector | grid=(1836, 1, 1) block=(128, 1, 1)"
9,Prefix: QKV projection + Gemma RoPE,18,"[918,2048] @ [2048,2560]",9625927680,6345216,2*918*2048*2560 tensor; 6345216 scalar,19416064,10485760,,FMA=2; logical dimensions; excludes MMA tile padding and compiler epilogue overhead,9632272896,9.632272896,9.73078528,0.006414336,255.23555555555555,4.59424,5.421504306011952,37.71389788953124,38.124724663927005,0.025131044089990943,1.0108932461873639,344330632.8888889,1349.0700076617677,28.260004630897885,495.77132007805494,76.07115692693459,71.12111355311355,17.73431694955728,135.345570381309,"Prefix: QKV projection + Gemma RoPE | _matmul_gemma_rope_qkv | grid=(29, 10, 1) block=(128, 1, 1)"
10,Prefix: RMSNorm (pre-FFN),17,"[918,2048]",0,9401238,"L*(5*D+1): x^2, sum, mean, epsilon, (1+w), two output multiplies",7524352,4096,918 rsqrt,"Logical reduction; source rereads x in its second pass, which can hit cache",9401238,0.009401238,0.0,0.010340352,29.31576470588235,0.498368,0.5881069029869063,0.0,0.0,0.3527232567099011,,8302569.411764706,283.21176319506867,0.0,0.0,256.665724926159,27.561728937728937,1.1034265026097536,0.0,"Prefix: RMSNorm (pre-FFN) | _rms_norm_kernel | grid=(918, 1, 1) block=(128, 1, 1)"
11,Prefix: RMSNorm (pre-attention),18,"[918,2048]",0,9401238,"L*(5*D+1): x^2, sum, mean, epsilon, (1+w), two output multiplies",7524352,4096,918 rsqrt,"Logical reduction; source rereads x in its second pass, which can hit cache",9401238,0.009401238,0.0,0.010340352,29.136,0.524448,0.618883012267395,0.0,0.0,0.3548995057660626,,8320305.777777778,285.56788089572274,0.0,0.0,258.2493135639758,27.561728937728937,1.1057836977560032,0.0,"Prefix: RMSNorm (pre-attention) | _rms_norm_kernel | grid=(918, 1, 1) block=(128, 1, 1)"
12,Prefix: concatenate image/text embeddings,1,"[1,968,2048] concatenate, then view first 918",0,0,0 (copy),7929856,0,,Three image sequences plus 200 padded text positions; prefix encoder uses 918 valid positions,0,0.0,0.0,0.0,28.000000000000004,0.028000000000000004,0.033041835117088934,0.0,0.0,0.0,,7985632.0,285.2011428571428,0.0,0.0,283.2091428571428,29.047091575091574,1.0070336712293388,0.0,"Prefix: concatenate image/text embeddings | void at::<unnamed>::CatArrayBatchedCopy_vectorized<at::<unnamed>::OpaqueType<2>, unsigned int, 2, 128, 1, 16, 8>(char *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2) | grid=(512, 4, 1) block=(128, 1, 1)"
