id,stage,family,semantic_label,kernel,nvtx,duration_ns,dram_bytes,bf16_flops,fp32_flops,l2_bytes,ncu_bf16_peak_ops,ncu_dram_peak_bytes,dram_util_pct,tensor_active_pct,sm_util_pct,l2_util_pct,occupancy_pct,issue_active_pct,bf16_counter_peak_pct
0,vlm,Other,Vision: input cast/layout,triton_poi_fused__to_copy_convolution_0,vlm.vision.camera0,3072.0000000000005,658944.0,0.0,0.0,1007264.0,709206016.0,2596864.0,25.37,0.0,4.3,6.57,16.28,5.51,0.0
1,vlm,Other,"Vision: NCHW to NHWC layout (1568, 1, 1)","void cudnn::nchwToNhwcKernel<__nv_bfloat16, float, float, 0, 1, 2>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *)",vlm.vision.camera0,4640.000000000001,380160.0,0.0,150528.0,1597472.0,1073534976.0,3973120.0,9.57,0.0,38.1,12.92,77.7,56.16,0.0
2,vlm,Other,"Vision: NCHW to NHWC layout (7, 1, 1152)","void cudnn::nchwToNhwcKernel<__nv_bfloat16, float, float, 0, 1, 2>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *)",vlm.vision.camera0,15264.000000000002,1698048.0,0.0,677376.0,8260064.0,3517882368.0,13131776.0,12.93,0.0,60.54,22.75,82.16,66.5,0.0
3,vlm,Other,Vision: patch embedding convolution,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x16x64_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna4_alignc4_execute_kernel__5x_cudnn,vlm.vision.camera0,41760.0,6153984.0,0.0,294912.0,55630496.0,9752023040.0,36003840.0,17.09,15.48,16.98,42.26,12.95,18.91,0.0
4,vlm,Other,Vision: NHWC to NCHW layout,"void cudnn::nhwcToNchwKernel<float, __nv_bfloat16, float, 1, 0, 0>(cudnn::nhwc2nchw_params_t<T3>, const T1 *, T2 *)",vlm.vision.camera0,3936.0,1312896.0,0.0,294912.0,1946176.0,918351872.0,3375104.0,38.9,0.0,8.73,9.95,44.51,10.26,0.0
5,vlm,Norm / residual,Vision: patch embedding / LayerNorm part 1,triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1,vlm.vision.camera0,4224.000000000001,1300608.0,0.0,4571136.0,2484288.0,978509824.0,3596288.0,36.17,0.0,12.54,17.47,23.17,18.99,0.0
6,vlm,Norm / residual,Vision: patch embedding / LayerNorm part 2,triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2,vlm.vision.camera0,2112.0000000000005,34944.0,0.0,352256.0,162656.0,492124160.0,1802240.0,1.94,0.0,2.18,2.04,8.08,5.78,0.0
7,vlm,Norm / residual,Vision: patch embedding / LayerNorm part 3,triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3,vlm.vision.camera0,3904.0000000000005,1344640.0,0.0,1916928.0,2128320.0,906696704.0,3342336.0,40.23,0.0,13.27,14.99,45.96,20.02,0.0
8,vlm,QKV,Vision: Q projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera0,11840.0,3999232.0,679477248.0,589824.0,22084192.0,2701283328.0,10182656.0,39.27,50.31,50.31,31.14,8.33,9.32,25.15
9,vlm,QKV,Vision: K projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera0,12096.0,4003328.0,679477248.0,589824.0,22084192.0,2756155392.0,10379264.0,38.57,49.31,49.31,30.5,8.33,9.25,24.65
10,vlm,QKV,Vision: V projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera0,11936.0,4003200.0,679477248.0,589824.0,22067968.0,2722148352.0,10264576.0,39.0,49.92,49.92,30.88,8.33,9.21,24.96
11,vlm,Vision attention,Vision: FlashAttention split-KV attention,"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera0,14528.0,2067968.0,402653184.0,4259866.0,12287264.0,3384735744.0,12500992.0,16.54,23.79,23.79,17.92,8.29,11.52,11.9
12,vlm,Vision attention,Vision: FlashAttention split-KV combine,"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 16, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera0,6880.0,2699904.0,0.0,2260992.0,3438048.0,1610119168.0,5898240.0,45.77,0.0,11.03,11.5,21.0,14.18,0.0
13,vlm,O projection,Vision: attention output projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera0,11904.000000000002,4001536.0,679477248.0,589824.0,22083904.0,2721990656.0,10240000.0,39.08,49.93,49.93,30.92,8.33,9.36,24.96
14,vlm,Norm / residual,Vision: residual / LayerNorm variant 4,triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4,vlm.vision.camera0,7040.0,2160640.0,0.0,14180372.0,7957344.0,1626828800.0,6053888.0,35.69,0.0,20.7,26.37,46.04,29.96,0.0
15,vlm,FFN up,Vision: FFN up + bias + GELU,triton_tem_fused_addmm_gelu_native_layer_norm_t_view_5,vlm.vision.camera0,31264.000000000004,13044736.0,2566914048.0,16693390.0,82831776.0,7104677888.0,26935296.0,48.43,72.26,72.26,44.27,39.76,13.42,36.13
16,vlm,FFN down,Vision: FFN down + bias,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera0,33984.00000000001,15089920.0,2566914048.0,1179648.0,80226208.0,7815723008.0,29278208.0,51.54,65.69,65.69,39.13,8.33,8.61,32.84
17,vlm,Norm / residual,Vision: residual / LayerNorm variant 6,triton_red_fused_add_native_layer_norm_view_6,vlm.vision.camera0,4512.0,1326592.0,0.0,11333632.0,2416576.0,1044738048.0,3850240.0,34.45,0.0,17.68,8.87,22.84,27.57,0.0
18,vlm,QKV,Vision: Q projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera0,11904.000000000002,4003200.0,679477248.0,589824.0,22068064.0,2717415424.0,10248192.0,39.06,50.01,50.01,30.93,8.33,9.31,25.0
19,vlm,QKV,Vision: K projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera0,12000.0,4000896.0,679477248.0,589824.0,22038880.0,2745606144.0,10321920.0,38.76,49.5,49.5,30.58,8.33,9.37,24.75
20,vlm,QKV,Vision: V projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera0,12064.0,4002048.0,679477248.0,589824.0,22084256.0,2753228800.0,10362880.0,38.62,49.36,49.36,30.55,8.33,9.23,24.68
