id,kernel,grid,block,stage,family,module,nvtx,duration_ns,dram_bytes,bf16_flops,fp32_flops,dram_util_pct,tensor_active_pct
0,"void at::<unnamed>::CatArrayBatchedCopy<at::<unnamed>::OpaqueType<4>, unsigned int, 4, 64, 64>(T1 *, at::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::<unnamed>::TensorSizeStride<T2, 4>, int, T2)","(184, 3, 1)","(512, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,7648.0,1990400.0,0.0,0.0,30.3,0.0
1,"void implicit_convolve_sgemm<float, float, 128, 5, 5, 3, 3, 3, 1, 0, 0, 1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","(24, 36, 1)","(8, 8, 1)",vlm,Other,prefix,vlm|Other|prefix,80192.00000000001,7699712.0,0.0,1048412160.0,11.13,0.0
2,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(3456, 1, 1)","(128, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,7360.000000000001,4048128.0,0.0,1769472.0,64.34,0.0
3,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(3456, 1, 1)","(128, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,12864.0,5232896.0,0.0,0.0,47.28,0.0
4,"void at::vectorized_gather_kernel<16, long>(char *, char *, T2 *, int, long, long, long, long, bool)","(256, 2, 1)","(256, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,3968.0,1303680.0,0.0,0.0,38.81,0.0
5,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(3456, 1, 1)","(128, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,8928.0,5419648.0,0.0,1769472.0,70.68,0.0
6,"void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(864, 1, 1)","(128, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,6720.0,3960064.0,0.0,0.0,68.47,0.0
7,"void at::<unnamed>::vectorized_layer_norm_kernel<c10::BFloat16, float, 0>(int, T2, const T1 *, const T1 *, const T1 *, T2 *, T2 *, T1 *)","(768, 1, 1)","(32, 4, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.layer_norm1,vlm|Norm-residual|paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.layer_norm1,6336.0,2004096.0,0.0,22656768.0,36.84,0.0
8,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params),"(96, 7, 1)","(128, 1, 1)",vlm,QKV,paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn.qkv_proj,vlm|QKV|paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn.qkv_proj,66720.0,12186752.0,6115295232.0,5308416.0,21.18,79.65
9,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(1728, 1, 1)","(128, 1, 1)",vlm,Vision attention,paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn,vlm|Vision attention|paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn,5888.0,2076800.0,0.0,0.0,41.16,0.0
10,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(1728, 1, 1)","(128, 1, 1)",vlm,Vision attention,paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn,vlm|Vision attention|paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn,5792.000000000001,2076416.0,0.0,0.0,41.97,0.0
11,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(1728, 1, 1)","(128, 1, 1)",vlm,Vision attention,paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn,vlm|Vision attention|paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn,5728.0,2076416.0,0.0,0.0,42.39,0.0
12,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(pytorch_flash::Flash_fwd_params)","(2, 3, 16)","(128, 1, 1)",vlm,Vision attention,paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn,vlm|Vision attention|paligemma_with_expert.paligemma.model.vision_tower.vision_model.encoder.layers.0.self_attn,30432.000000000004,6396928.0,1207959552.0,15237178.0,24.37,33.98
