dimension,safe_rms,optimized_rms,error_rms,mean_abs,max_abs
0,0.0768448965113249,0.018703686492820455,0.06325870260133358,0.06298105046153069,0.07936811447143555
1,0.028871913602123173,0.014449799785983486,0.024116672108839745,0.022700713872909548,0.03880906105041504
2,0.05468977887434518,0.014794208211463189,0.05792318593860885,0.057071252018213274,0.07895898818969727
3,0.08841085079887905,0.05056492431637979,0.03941277317336448,0.03911365658044815,0.05230844020843506
4,0.06064059630044954,0.021552368207620274,0.04290178494476766,0.04152570828795433,0.06208944320678711
5,0.014676923892682889,0.02636597664247099,0.01314466415726834,0.012089065909385681,0.02268671989440918
6,0.08837475913774981,0.02641945885236807,0.10859005582441918,0.10483301132917404,0.14252448081970215
7,0.17212014761102146,0.022589259467970104,0.15442186413678172,0.15334074974060058,0.17965680360794067
8,0.0184390038264292,0.012928174433891111,0.017825374357732217,0.01609727393835783,0.028951048851013184
9,0.03375484629702979,0.01671807539837602,0.027963448759780386,0.026773268803954125,0.048662662506103516
10,0.03581989598463738,0.0390818803066797,0.016286553377350136,0.013988813534379006,0.03660440444946289
11,0.021098449767561946,0.012603620443223317,0.020971946341948666,0.020230262763798235,0.032410502433776855
12,0.052721437786394654,0.0199172736741824,0.041317297511890984,0.03973318040370941,0.06063556671142578
13,0.04018784057911678,0.1129008463419842,0.13991566693449867,0.13639532625675202,0.19186890125274658
14,0.0678209829413382,0.017727282720852305,0.06049400295025888,0.05865429878234863,0.08720433712005615
15,0.08745429828127807,0.018926891915826607,0.09512180879691047,0.09275801569223403,0.1708301305770874
16,0.04373311471577363,0.03467594028215982,0.06359073682517521,0.04959217093884945,0.14733517169952393
17,0.08405095584660648,0.022231276923307904,0.10097916990518899,0.10016670174896718,0.12293589115142822
18,0.07864458273270858,0.01351992525033342,0.07835252602485933,0.07740311667323113,0.09405553340911865
19,0.0486808420896812,0.01752538119127956,0.03951241561970682,0.03748049020767212,0.07361114025115967
20,0.04726212561054819,0.013766082388186933,0.05183249437374939,0.050193836987018584,0.0692446231842041
21,0.03452129224550863,0.016850321757876333,0.023345146322836192,0.021915870532393456,0.04355978965759277
22,0.03461832832354375,0.013702438204143491,0.03250372492249415,0.029511268362402917,0.051369428634643555
23,0.026114076806216996,0.016197076898952854,0.023995994662240665,0.022532865293323993,0.045861005783081055
24,0.008205623365524745,0.014313095345088579,0.006907898128302223,0.005205673109740019,0.022853851318359375
25,0.03686598917682801,0.015699770448506362,0.03798006802669993,0.03672450125217438,0.0531923770904541
26,0.012899207041107183,0.01356059250940422,0.010912491303764012,0.008837990164756775,0.0238649845123291
27,0.03250347193190431,0.014701136357763224,0.03408487058301587,0.03167650528252125,0.060697317123413086
28,0.008164826111381161,0.013094935558471495,0.006625026672506685,0.005206123683601618,0.0144883394241333
29,0.008257913807050155,0.014852057631277487,0.00746527058975861,0.005816557123325765,0.024959564208984375
30,0.01729848675438723,0.012307856734415345,0.012169556413762151,0.011303505264222621,0.022086739540100098
31,0.015892761927046885,0.017225803662095262,0.007126562193804449,0.005519451349973678,0.018718719482421875
