id,process_id,device,context,stream,kernel,grid,block,operator,domain,duration_ns,memory_level,memory_bytes,dram_bytes,flops,ai_flops_per_byte,performance_tflops,status
0,2366711,0,1,7,"void at::vectorized_elementwise_kernel<4, at::FillFunctor<int>, std::array<char *, 1>>(int, T2, T3)","(1, 1, 1)","(128, 1, 1)","action_expert/void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)",bf16_tensor,3552.0,l2,19296.0,,0.0,,,zero_counted_flops
0,2366711,0,1,7,"void at::vectorized_elementwise_kernel<4, at::FillFunctor<int>, std::array<char *, 1>>(int, T2, T3)","(1, 1, 1)","(128, 1, 1)","action_expert/void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)",fp32_simt,3552.0,l2,19296.0,,0.0,,,zero_counted_flops
1,2366711,0,1,7,"void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","(1, 1, 1)","(128, 1, 1)","action_expert/void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",bf16_tensor,12608.0,l2,119552.0,,0.0,,,zero_counted_flops
1,2366711,0,1,7,"void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","(1, 1, 1)","(128, 1, 1)","action_expert/void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",fp32_simt,12608.0,l2,119552.0,,0.0,,,zero_counted_flops
2,2366711,0,1,7,"void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(2, 1, 1)","(128, 1, 1)","action_expert/void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",bf16_tensor,18592.0,l2,51904.0,,0.0,,,zero_counted_flops
2,2366711,0,1,7,"void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(2, 1, 1)","(128, 1, 1)","action_expert/void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",fp32_simt,18592.0,l2,51904.0,,0.0,,,zero_counted_flops
3,2366711,0,1,7,_matmul_small_bias,"(64, 1, 1)","(128, 1, 1)",step00.layer-1._matmul_small_bias.line1839/_matmul_small_bias,bf16_tensor,15552.0,l2,364640.0,,4194304.0,11.50258885476086,0.2696954732510288,ok
3,2366711,0,1,7,_matmul_small_bias,"(64, 1, 1)","(128, 1, 1)",step00.layer-1._matmul_small_bias.line1839/_matmul_small_bias,fp32_simt,15552.0,l2,364640.0,,32768.0,0.08986397542781922,0.0021069958847736627,ok
4,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer00._adarms_norm_kernel.line1854/_adarms_norm_kernel,bf16_tensor,14656.000000000002,l2,459872.0,,0.0,,,zero_counted_flops
4,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer00._adarms_norm_kernel.line1854/_adarms_norm_kernel,fp32_simt,14656.000000000002,l2,459872.0,,358400.0,0.7793472966390648,0.024454148471615717,ok
5,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer00._matmul_rope_qkv.line1863/_matmul_rope_qkv,bf16_tensor,33216.0,l2,13918464.0,,335544320.0,24.10785557946624,10.10188824662813,ok
5,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer00._matmul_rope_qkv.line1863/_matmul_rope_qkv,fp32_simt,33216.0,l2,13918464.0,,442368.0,0.031782817414335376,0.013317919075144508,ok
6,2366711,0,1,7,_matmul_abt_scale,"(91, 1, 1)","(128, 1, 1)",step00.layer00._matmul_abt_scale.line1899/_matmul_abt_scale,bf16_tensor,16992.000000000004,l2,2853120.0,,47710208.0,16.72211754149843,2.8078041431261767,ok
6,2366711,0,1,7,_matmul_abt_scale,"(91, 1, 1)","(128, 1, 1)",step00.layer00._matmul_abt_scale.line1899/_matmul_abt_scale,fp32_simt,16992.000000000004,l2,2853120.0,,93184.0,0.03266038582323912,0.005483992467043314,ok
7,2366711,0,1,7,_softmax_prefix_suffix_mask_vector,"(100, 1, 1)","(128, 1, 1)",step00.layer00._softmax_prefix_suffix_mask_vector.line1911/_softmax_prefix_suffix_mask_vector,bf16_tensor,18752.000000000004,l2,566560.0,,0.0,,,zero_counted_flops
7,2366711,0,1,7,_softmax_prefix_suffix_mask_vector,"(100, 1, 1)","(128, 1, 1)",step00.layer00._softmax_prefix_suffix_mask_vector.line1911/_softmax_prefix_suffix_mask_vector,fp32_simt,18752.000000000004,l2,566560.0,,2528000.0,4.462016379553798,0.13481228668941977,ok
8,2366711,0,1,7,_matmul_small,"(104, 1, 1)","(128, 1, 1)",step00.layer00._matmul_small.line1921/_matmul_small,bf16_tensor,19520.000000000004,l2,3429280.0,,54525952.0,15.900116642560537,2.793337704918032,ok
8,2366711,0,1,7,_matmul_small,"(104, 1, 1)","(128, 1, 1)",step00.layer00._matmul_small.line1921/_matmul_small,fp32_simt,19520.000000000004,l2,3429280.0,,0.0,,,zero_counted_flops
9,2366711,0,1,7,_matmul_small_res_gate_oproj,"(128, 1, 1)","(128, 1, 1)",step00.layer00._matmul_small_res_gate_oproj.line1932/_matmul_small_res_gate_oproj,bf16_tensor,42528.0,l2,14677536.0,,268435456.0,18.28886374388726,6.311969902182091,ok
9,2366711,0,1,7,_matmul_small_res_gate_oproj,"(128, 1, 1)","(128, 1, 1)",step00.layer00._matmul_small_res_gate_oproj.line1932/_matmul_small_res_gate_oproj,fp32_simt,42528.0,l2,14677536.0,,131072.0,0.00893010924994495,0.0030820165537998492,ok
10,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer00._adarms_norm_kernel.line1945/_adarms_norm_kernel,bf16_tensor,14784.000000000002,l2,456928.0,,0.0,,,zero_counted_flops
10,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer00._adarms_norm_kernel.line1945/_adarms_norm_kernel,fp32_simt,14784.000000000002,l2,456928.0,,358400.0,0.7843686532670355,0.02424242424242424,ok
11,2366711,0,1,7,_matmul_small_gate,"(1, 64, 1)","(128, 1, 1)",step00.layer00._matmul_small_gate.line1954/_matmul_small_gate,bf16_tensor,80864.0,l2,23342496.0,,1073741824.0,45.99944341856158,13.278366442421843,ok
11,2366711,0,1,7,_matmul_small_gate,"(1, 64, 1)","(128, 1, 1)",step00.layer00._matmul_small_gate.line1954/_matmul_small_gate,fp32_simt,80864.0,l2,23342496.0,,2883584.0,0.12353366152445737,0.03565967550455085,ok
12,2366711,0,1,7,_matmul_small_res_gate_ffn_down,"(64, 1, 1)","(128, 1, 1)",step00.layer00._matmul_small_res_gate_ffn_down.line1971/_matmul_small_res_gate_ffn_down,bf16_tensor,74400.0,l2,39362464.0,,536870912.0,13.639159174588258,7.216006881720429,ok
12,2366711,0,1,7,_matmul_small_res_gate_ffn_down,"(64, 1, 1)","(128, 1, 1)",step00.layer00._matmul_small_res_gate_ffn_down.line1971/_matmul_small_res_gate_ffn_down,fp32_simt,74400.0,l2,39362464.0,,131072.0,0.0033298728453584614,0.0017617204301075267,ok
13,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer01._adarms_norm_kernel.line1854/_adarms_norm_kernel,bf16_tensor,16544.0,l2,467296.0,,0.0,,,zero_counted_flops
13,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer01._adarms_norm_kernel.line1854/_adarms_norm_kernel,fp32_simt,16544.0,l2,467296.0,,358400.0,0.7669656919810998,0.021663442940038684,ok
14,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer01._matmul_rope_qkv.line1863/_matmul_rope_qkv,bf16_tensor,38880.0,l2,13813472.0,,335544320.0,24.29109205853532,8.630255144032922,ok
14,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer01._matmul_rope_qkv.line1863/_matmul_rope_qkv,fp32_simt,38880.0,l2,13813472.0,,442368.0,0.032024388944358086,0.011377777777777777,ok
15,2366711,0,1,7,_matmul_abt_scale,"(91, 1, 1)","(128, 1, 1)",step00.layer01._matmul_abt_scale.line1899/_matmul_abt_scale,bf16_tensor,18368.0,l2,2867328.0,,47710208.0,16.639257176018926,2.597463414634146,ok
15,2366711,0,1,7,_matmul_abt_scale,"(91, 1, 1)","(128, 1, 1)",step00.layer01._matmul_abt_scale.line1899/_matmul_abt_scale,fp32_simt,18368.0,l2,2867328.0,,93184.0,0.032498549171911965,0.005073170731707316,ok
16,2366711,0,1,7,_softmax_prefix_suffix_mask_vector,"(100, 1, 1)","(128, 1, 1)",step00.layer01._softmax_prefix_suffix_mask_vector.line1911/_softmax_prefix_suffix_mask_vector,bf16_tensor,17600.0,l2,560288.0,,0.0,,,zero_counted_flops
16,2366711,0,1,7,_softmax_prefix_suffix_mask_vector,"(100, 1, 1)","(128, 1, 1)",step00.layer01._softmax_prefix_suffix_mask_vector.line1911/_softmax_prefix_suffix_mask_vector,fp32_simt,17600.0,l2,560288.0,,2528000.0,4.511965275001428,0.14363636363636362,ok
17,2366711,0,1,7,_matmul_small,"(104, 1, 1)","(128, 1, 1)",step00.layer01._matmul_small.line1921/_matmul_small,bf16_tensor,18208.000000000004,l2,3424032.0,,54525952.0,15.924486687040307,2.9946151142355006,ok
17,2366711,0,1,7,_matmul_small,"(104, 1, 1)","(128, 1, 1)",step00.layer01._matmul_small.line1921/_matmul_small,fp32_simt,18208.000000000004,l2,3424032.0,,0.0,,,zero_counted_flops
18,2366711,0,1,7,_matmul_small_res_gate_oproj,"(128, 1, 1)","(128, 1, 1)",step00.layer01._matmul_small_res_gate_oproj.line1932/_matmul_small_res_gate_oproj,bf16_tensor,42208.0,l2,14742144.0,,268435456.0,18.20871211134554,6.3598241091736165,ok
18,2366711,0,1,7,_matmul_small_res_gate_oproj,"(128, 1, 1)","(128, 1, 1)",step00.layer01._matmul_small_res_gate_oproj.line1932/_matmul_small_res_gate_oproj,fp32_simt,42208.0,l2,14742144.0,,131072.0,0.00889097271061794,0.00310538286580743,ok
19,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer01._adarms_norm_kernel.line1945/_adarms_norm_kernel,bf16_tensor,16672.000000000004,l2,463968.0,,0.0,,,zero_counted_flops
19,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer01._adarms_norm_kernel.line1945/_adarms_norm_kernel,fp32_simt,16672.000000000004,l2,463968.0,,358400.0,0.7724670666942548,0.02149712092130518,ok
20,2366711,0,1,7,_matmul_small_gate,"(1, 64, 1)","(128, 1, 1)",step00.layer01._matmul_small_gate.line1954/_matmul_small_gate,bf16_tensor,86304.0,l2,23347232.0,,1073741824.0,45.990112403902955,12.441391175380051,ok
20,2366711,0,1,7,_matmul_small_gate,"(1, 64, 1)","(128, 1, 1)",step00.layer01._matmul_small_gate.line1954/_matmul_small_gate,fp32_simt,86304.0,l2,23347232.0,,2883584.0,0.12350860264720032,0.033411939191694474,ok
21,2366711,0,1,7,_matmul_small_res_gate_ffn_down,"(64, 1, 1)","(128, 1, 1)",step00.layer01._matmul_small_res_gate_ffn_down.line1971/_matmul_small_res_gate_ffn_down,bf16_tensor,72000.0,l2,39263232.0,,536870912.0,13.673630128054665,7.456540444444444,ok
21,2366711,0,1,7,_matmul_small_res_gate_ffn_down,"(64, 1, 1)","(128, 1, 1)",step00.layer01._matmul_small_res_gate_ffn_down.line1971/_matmul_small_res_gate_ffn_down,fp32_simt,72000.0,l2,39263232.0,,131072.0,0.003338288605482096,0.0018204444444444444,ok
22,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer02._adarms_norm_kernel.line1854/_adarms_norm_kernel,bf16_tensor,15168.000000000002,l2,465088.0,,0.0,,,zero_counted_flops
22,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer02._adarms_norm_kernel.line1854/_adarms_norm_kernel,fp32_simt,15168.000000000002,l2,465088.0,,358400.0,0.7706068528966561,0.02362869198312236,ok
23,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer02._matmul_rope_qkv.line1863/_matmul_rope_qkv,bf16_tensor,35264.0,l2,13811296.0,,335544320.0,24.29491917340704,9.515208711433758,ok
